,RNA,Clustering File,threshold,cluster,configuration,RMSD,size
0,3npq_A,allA,6.0,5,1,20.671250566910555,51
1,3npq_A,allA,6.5,5,1,20.172027662086922,51
2,3npq_A,singleA,1.5,3,1,22.6334906720108,51
3,3npq_A,singleA,1.5,5,1,21.74695151049912,51
4,3npq_A,singleB,1.5,3,1,21.74695151049912,51
5,3npq_A,allA,6.0,1,1,22.343379332589777,51
6,3npq_A,singleB,6.0,2,1,23.40531777182271,51
7,3npq_A,singleB,8.0,2,1,16.653603213719244,51
8,3npq_A,singleB,5.5,1,1,22.343379332589777,51
9,3npq_A,allA,1.0,3,1,16.663144961261064,51
10,3npq_A,singleB,1.0,5,1,24.34741670075082,51
11,3npq_A,singleA,6.0,4,1,17.254582000152887,51
12,3npq_A,singleB,4.5,2,1,21.192838413011128,51
13,3npq_A,singleA,8.5,3,1,22.522360000674887,51
14,3npq_A,allB,4.5,2,1,21.192838413011128,51
15,3npq_A,singleA,6.0,5,1,20.671250566910555,51
16,3npq_A,singleA,7.0,2,1,17.254582000152887,51
17,3npq_A,allB,3.5,5,1,24.438704957505422,51
18,3npq_A,allB,6.0,1,1,22.343379332589777,51
19,3npq_A,singleA,2.0,1,1,21.943563976710802,51
20,3npq_A,singleA,8.0,4,1,22.522360000674887,51
21,3npq_A,singleB,1.5,5,1,23.379148829672992,51
22,3npq_A,allB,6.5,2,1,23.40531777182271,51
23,3npq_A,allB,2.0,5,1,22.184920554286418,51
24,3npq_A,allA,7.0,2,1,17.254582000152887,51
25,3npq_A,singleA,4.0,1,1,22.343379332589777,51
26,3npq_A,singleA,5.5,1,1,22.343379332589777,51
27,3npq_A,allA,3.0,3,1,21.192838413011128,51
28,3npq_A,allB,5.5,2,1,23.40531777182271,51
29,3npq_A,singleA,8.0,2,1,16.163099950195196,51
30,3npq_A,allA,4.5,5,1,23.655971761904013,51
31,3npq_A,allB,3.0,2,1,21.41851068585302,51
32,3npq_A,singleA,4.5,2,1,24.64848271192367,51
33,3npq_A,allA,7.5,1,1,22.74233057538299,51
34,3npq_A,allB,1.5,4,1,24.808956044138576,51
35,3npq_A,allA,3.0,1,1,22.08662038429601,51
36,3npq_A,allA,6.5,2,1,25.05436888049667,51
37,3npq_A,singleA,2.5,5,1,22.6334906720108,51
38,3npq_A,singleB,5.5,4,1,20.671250566910555,51
39,3npq_A,singleB,7.5,2,1,20.172027662086922,51
40,3npq_A,singleA,3.5,5,1,21.943563976710802,51
41,3npq_A,allA,3.5,4,1,21.192838413011128,51
42,3npq_A,allB,6.0,3,1,23.40531777182271,51
43,3npq_A,allA,8.5,3,1,22.522360000674887,51
44,3npq_A,singleB,9.0,2,1,16.653603213719244,51
45,3npq_A,allB,5.5,5,1,20.172027662086922,51
46,3npq_A,singleB,9.5,1,1,22.590728186581327,51
47,3npq_A,singleB,7.5,1,1,22.17427789128656,51
48,3npq_A,allA,7.5,3,1,22.273306894127778,51
49,3npq_A,allB,2.0,1,1,22.37842264325169,51
50,3npq_A,singleA,6.5,4,1,22.522360000674887,51
51,3npq_A,singleA,3.5,2,1,21.618667859051815,51
52,3npq_A,allA,1.5,2,1,21.337417838154643,51
53,3npq_A,singleA,1.0,3,1,20.682596548789515,51
54,3npq_A,singleB,9.5,2,1,16.653603213719244,51
55,3npq_A,allB,4.0,5,1,25.05436888049667,51
56,3npq_A,allB,8.0,2,1,16.653603213719244,51
57,3npq_A,singleB,3.0,1,1,22.08662038429601,51
58,3npq_A,allB,9.0,2,1,16.653603213719244,51
59,3npq_A,allB,1.0,2,1,22.327310630705167,51
60,3npq_A,allB,6.5,4,1,20.172027662086922,51
61,3npq_A,allA,8.5,1,1,21.518134212798284,51
62,3npq_A,singleB,4.0,4,1,24.118107305508033,51
63,3npq_A,allA,7.0,1,1,22.74233057538299,51
64,3npq_A,allB,7.0,1,1,22.343379332589777,51
65,3npq_A,singleA,4.5,3,1,23.05237731775185,51
66,3npq_A,allB,3.5,4,1,21.518134212798284,51
67,3npq_A,singleB,4.0,1,1,22.343379332589777,51
68,3npq_A,singleA,5.0,1,1,22.343379332589777,51
69,3npq_A,singleB,6.5,1,1,22.343379332589777,51
70,3npq_A,allB,1.0,4,1,16.653603213719244,51
71,3npq_A,allA,7.0,3,1,23.202560203563742,51
72,3npq_A,singleA,1.0,4,1,22.590728186581327,51
73,3npq_A,allB,5.0,5,1,22.327310630705167,51
74,3npq_A,allB,4.5,5,1,24.808956044138576,51
75,3npq_A,allA,5.5,3,1,23.643603786225146,51
76,3npq_A,allA,2.0,2,1,21.518134212798284,51
77,3npq_A,singleA,9.5,1,1,22.57908102647227,51
78,3npq_A,singleB,1.0,3,1,21.686295211492443,51
79,3npq_A,allA,7.5,4,1,22.522360000674887,51
80,3npq_A,singleA,2.5,4,1,22.590728186581327,51
81,3npq_A,allA,3.5,2,1,21.618667859051815,51
82,3npq_A,singleB,2.0,5,1,21.337417838154643,51
83,3npq_A,singleA,8.0,3,1,24.69450748648371,51
84,3npq_A,singleB,4.5,5,1,23.476437123209305,51
85,3npq_A,allA,4.5,2,1,24.107832752033104,51
86,3npq_A,allA,4.5,1,1,22.343379332589777,51
87,3npq_A,singleA,2.5,3,1,21.94047857272033,51
88,3npq_A,allB,4.5,4,1,24.438704957505422,51
89,3npq_A,singleB,3.0,4,1,21.994487945846796,51
90,3npq_A,allA,1.0,2,1,24.40384191065005,51
91,3npq_A,singleB,6.0,3,1,22.327310630705167,51
92,3npq_A,singleB,7.0,3,1,16.653603213719244,51
93,3npq_A,singleA,6.0,2,1,24.947889690312486,51
94,3npq_A,singleB,2.0,2,1,22.30834373054172,51
95,3npq_A,singleB,6.5,4,1,16.653603213719244,51
96,3npq_A,allA,9.5,1,1,22.74233057538299,51
97,3npq_A,singleA,6.5,2,1,25.05436888049667,51
98,3npq_A,allA,7.0,5,1,20.052511064702095,51
99,3npq_A,singleB,6.0,4,1,25.05436888049667,51
100,3npq_A,allA,5.5,2,1,24.64848271192367,51
101,3npq_A,allA,5.0,2,1,24.64848271192367,51
102,3npq_A,allB,6.5,1,1,22.343379332589777,51
103,3npq_A,allA,4.0,4,1,24.64848271192367,51
104,3npq_A,allA,1.0,4,1,22.22067955756529,51
105,3npq_A,singleB,6.5,2,1,23.476437123209305,51
106,3npq_A,allA,7.0,4,1,22.522360000674887,51
107,3npq_A,allA,6.0,2,1,24.947889690312486,51
108,3npq_A,singleB,2.5,2,1,21.337417838154643,51
109,3npq_A,singleA,1.5,4,1,24.45304888965791,51
110,3npq_A,singleA,8.0,1,1,22.17427789128656,51
111,3npq_A,singleA,3.0,5,1,21.41851068585302,51
112,3npq_A,allB,9.5,2,1,16.653603213719244,51
113,3npq_A,allA,4.0,3,1,21.389899485504834,51
114,3npq_A,allB,7.5,1,1,22.343379332589777,51
115,3npq_A,singleB,5.0,3,1,20.671250566910555,51
116,3npq_A,allA,2.0,4,1,22.385774500785093,51
117,3npq_A,singleB,5.5,5,1,20.172027662086922,51
118,3npq_A,singleB,6.0,1,1,22.343379332589777,51
119,3npq_A,singleB,4.0,3,1,21.529542493977896,51
